Symbol,Company Name,Sector,Industry
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates
BAJAJFINSV,Bajaj Finserv Limited,Financial Services,Financial Conglomerates
CENTRUM,Centrum Capital Limited,Financial Services,Financial Conglomerates
CREST,Crest Ventures Limited,Financial Services,Financial Conglomerates
EDELWEISS,Edelweiss Financial Services Limited,Financial Services,Financial Conglomerates
IVC,IL&FS Investment Managers Limited,Financial Services,Financial Conglomerates
PEL,Piramal Enterprises Limited,Financial Services,Financial Conglomerates
