Symbol,Company Name,Sector,Industry
SHK,S H Kelkar and Company Limited,Basic Materials,Specialty Chemicals
SADHNANIQ,Sadhana Nitrochem Limited,Basic Materials,Specialty Chemicals
SAMPANN,Sampann Utpadan India Limited,Basic Materials,Specialty Chemicals
SOTL,Savita Oil Technologies Limited,Basic Materials,Specialty Chemicals
SEYAIND,Seya Industries Limited,Basic Materials,Specialty Chemicals
SHAILY,Shaily Engineering Plastics Limited,Basic Materials,Specialty Chemicals
SHALPAINTS,Shalimar Paints Limited,Basic Materials,Specialty Chemicals
SRD,Shankar Lal Rampal Dye-Chem Limited,Basic Materials,Specialty Chemicals
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Basic Materials,Specialty Chemicals
SIRCA,Sirca Paints India Limited,Basic Materials,Specialty Chemicals
SOLARINDS,Solar Industries India Limited,Basic Materials,Specialty Chemicals
STALLION,Stallion India Fluorochemicals Limited,Basic Materials,Specialty Chemicals
SUDARSCHEM,Sudarshan Chemical Industries Limited,Basic Materials,Specialty Chemicals
SUKHJITS,Sukhjit Starch & Chemicals Limited,Basic Materials,Specialty Chemicals
SPLPETRO,Supreme Petrochem Limited,Basic Materials,Specialty Chemicals
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,Basic Materials,Specialty Chemicals
TNPETRO,Tamilnadu PetroProducts Limited,Basic Materials,Specialty Chemicals
TATVA,Tatva Chintan Pharma Chem Limited,Basic Materials,Specialty Chemicals
TIRUMALCHM,Thirumalai Chemicals Limited,Basic Materials,Specialty Chemicals
TINNARUBR,Tinna Rubber and Infrastructure Limited,Basic Materials,Specialty Chemicals
VEEDOL,Veedol Corporation Limited,Basic Materials,Specialty Chemicals
VIDHIING,Vidhi Specialty Food Ingredients Limited,Basic Materials,Specialty Chemicals
VIKASECO,Vikas EcoTech Limited,Basic Materials,Specialty Chemicals
VINATIORGA,Vinati Organics Limited,Basic Materials,Specialty Chemicals
VINYLINDIA,Vinyl Chemicals (India) Limited,Basic Materials,Specialty Chemicals
VISHNU,Vishnu Chemicals Limited,Basic Materials,Specialty Chemicals
XPROINDIA,Xpro India Limited,Basic Materials,Specialty Chemicals
YASHO,Yasho Industries Limited,Basic Materials,Specialty Chemicals
