Symbol,Company Name,Sector,Industry
EMBDL,Embassy Developments Limited,Real Estate,Real Estate - Diversified
HEMIPROP,Hemisphere Properties India Limited,Real Estate,Real Estate - Diversified
HDIL,Housing Development and Infrastructure Limited,Real Estate,Real Estate - Diversified
PRESTIGE,Prestige Estates Projects Limited,Real Estate,Real Estate - Diversified
PROZONER,Prozone Realty Limited,Real Estate,Real Estate - Diversified
PHOENIXLTD,The Phoenix Mills Limited,Real Estate,Real Estate - Diversified
UNITECH,Unitech Limited,Real Estate,Real Estate - Diversified
VIPULLTD,Vipul Limited,Real Estate,Real Estate - Diversified
